src,latitude,longitude
0,40.7562866211,-73.9301300049
1,40.6737098694,-73.8340072632
2,39.5875854492,-72.4104003906
3,39.8522720337,-74.2000045776
4,39.9140968323,-75.2456817627
5,39.9380187988,-75.0906982422
6,40.0282020569,-75.1424255371
7,40.0280380249,-75.1424636841
8,40.5978431702,-74.2437133789
9,40.0282020569,-75.1424255371
10,40.6777534485,-73.9794921875
11,40.2942123413,-74.728553772
12,40.3461303711,-75.9376983643
13,40.3161277771,-74.658996582
14,40.3461685181,-74.6200027466
15,40.7994880676,-73.9538803101
16,40.3183555603,-74.2074279785
17,40.3464355469,-74.0730895996
18,40.3541069031,-74.6569976807
19,40.3667678833,-74.290473938
20,40.3917884827,-74.2143554688
21,40.810459137,-73.9518203735
22,40.4418640137,-74.3004074097
23,40.4465675354,-74.2399597168
24,40.4932136536,-74.4438858032
25,40.4631538391,-74.2969741821
26,40.4752807617,-73.0439987183
27,40.8077926636,-73.9452362061
28,40.5425033569,-74.5013275146
29,40.6414680481,-73.8772888184
30,40.637966156,-74.0760269165
31,40.6296043396,-74.0847091675
32,40.6377105713,-74.0801239014
33,40.6801109314,-73.9969940186
34,40.5956573486,-75.4854507446
35,40.6513748169,-74.2191390991
36,40.5929985046,-74.2418136597
37,40.6376495361,-74.0760879517
38,40.6100997925,-74.1177139282
39,40.6173553467,-74.0662460327
40,40.6226882935,-74.0281829834
41,40.5912055969,-73.9840545654
42,40.5976676941,-73.956199646
43,40.5914382935,-73.9431610107
44,40.5830612183,-73.8848190308
45,40.6708183289,-73.8429260254
46,40.6712608337,-73.8351898193
47,40.5863265991,-73.7015228271
48,40.6590232849,-73.7728500366
49,40.5919761658,-73.5804901123
50,40.7017211914,-73.9867477417
51,40.6370506287,-74.31640625
52,40.6161270142,-74.2689666748
53,40.6253013611,-74.1788482666
54,40.6346244812,-74.1022644043
55,40.639415741,-74.0880279541
56,40.6394615173,-74.0737838745
57,40.6583023071,-73.9898757935
58,40.6522407532,-73.9618453979
59,40.6449012756,-73.9345169067
60,40.6619796753,-73.9087677002
61,40.6934394836,-73.8526535034
62,40.6951942444,-73.8602676392
63,40.6664657593,-73.7796173096
64,40.659614563,-73.7015228271
65,40.6398124695,-73.6523895264
66,40.643825531,-73.5228424072
67,40.652671814,-75.4007873535
68,40.6610107422,-74.345161438
69,40.7280883789,-73.9535140991
70,40.6563720703,-74.2755966187
71,40.6957702637,-74.1784439087
72,40.7314567566,-74.0384063721
73,40.7122917175,-74.0724868774
74,40.6480712891,-74.0794372559
